downtime_id;production_order_id;tube_line_id;shift;start_date;end_date;duration_min;machine;category;description
20;20042647;0;Nachtschicht;05.01.2023 02:49;05.01.2023 03:30;41;NH;Spritzen;Nach mehrere Stationen Stösselüberwachung konnte die NH nicht gestartet werden - Spühlfehler. SL an Linie. 
21;20042647;0;Nachtschicht;05.01.2023 03:45;05.01.2023 03:59;14;PM;Deckel-Bilder;Schweisfehler. ER an Linie 
22;20042647;0;Nachtschicht;05.01.2023 04:21;05.01.2023 04:31;10;NH;Spritzen;Stösselüberwachung 2x nacheinander. 
23;20042647;0;Nachtschicht;05.01.2023 04:53;05.01.2023 05:36;43;SS;Schweissnaht/-Band;Innenband kapput. Rumpfspeicher leer-
24;20042647;0;Nachtschicht;05.01.2023 05:54;05.01.2023 07:33;98;TL;Rüsten / Nachjustieren;"0 - 3
NH: Störung Temperatur Ständer 1 - 10 zu hoch oder zu niedrig"
25;20042647;0;Frühschicht;05.01.2023 10:19;05.01.2023 10:27;8;NH;Hopper / Rumpfzufuhr;
26;20042647;0;Frühschicht;05.01.2023 10:57;05.01.2023 11:05;8;PM;Schachtel-Transport;UT Tray Eingeklemmt
27;20042647;0;Frühschicht;05.01.2023 11:19;05.01.2023 11:30;11;HM;Aufschrauben / Aufprellen;Linear Motor Versch. mont. 1c , Verschluss Eingeklemt.
28;20042645;0;Frühschicht;05.01.2023 11:38;05.01.2023 11:45;7;HM;Aufschrauben / Aufprellen;Linear Motor Versch. mont. 1c , Verschluss Eingeklemt.
29;20042645;0;Frühschicht;05.01.2023 11:56;05.01.2023 12:08;12;TL;Sonstiges => Kommentar machen;"PM: Traybildstaion Kein O - Punkt. Elektriker und Ukshini Rexhail Anwesend.
Elekt. Falsche Motor Angesteuert. = PM Störungen
Weitere Infos Teamleiter"
30;20042645;0;Frühschicht;05.01.2023 12:14;05.01.2023 12:22;8;TL;Sonstiges => Kommentar machen;"PM: Traybildstaion Kein O - Punkt. Elektriker und Ukshini Rexhail Anwesend.
Elekt. Falsche Motor Angesteuert. = PM Störungen
Weitere Infos Teamleiter"
31;20042645;0;Frühschicht;05.01.2023 13:32;05.01.2023 13:38;6;TL;Geplante Wartung;Linine Aufreumen, HM/PM.
32;20042645;0;Frühschicht;05.01.2023 13:56;05.01.2023 14:03;7;PM;Gruppieren;Störung Tubeinschieber, Tuben bleiben in der Dornplate.
33;20042645;0;Spätschicht;05.01.2023 14:18;05.01.2023 14:25;7;PM;Stapeleinheit / Dornplatte;Sigmund Taurean (PEPL) und Einrichter an Maschine
34;20042645;0;Spätschicht;05.01.2023 14:44;05.01.2023 14:59;15;PM;Stapeleinheit / Dornplatte;Sigmund Taurean und Ivan Miodragovic an Maschine
35;20042645;0;Spätschicht;05.01.2023 16:21;05.01.2023 16:26;6;HM;Aufschrauben / Aufprellen;Aufprellschlüssel Stat. C macht Probleme, Einrichter anwesend (Shqiprim Lulaj)
36;20042645;0;Spätschicht;05.01.2023 17:14;05.01.2023 18:34;80;TL;Rüsten / Nachjustieren;Umrichtcode :   0 - 3 L
37;20042729;0;Nachtschicht;05.01.2023 23:19;05.01.2023 23:25;6;NH;Tuben entladen;Entladeprobleme abblasen.
38;20042729;0;Nachtschicht;05.01.2023 23:38;05.01.2023 23:46;8;NH;Tuben laden;Schwenkmagazin
39;20042729;0;Nachtschicht;06.01.2023 00:10;06.01.2023 01:51;101;TL;Rüsten / Nachjustieren;0 - 5
40;20042729;0;Nachtschicht;06.01.2023 04:24;06.01.2023 09:34;311;TL;Rüsten / Nachjustieren;0 - 3 - X - L - D
41;20042728;0;Frühschicht;06.01.2023 09:35;06.01.2023 09:45;10;TL;Rüsten / Nachjustieren;HM/PM
42;20042728;0;Frühschicht;06.01.2023 09:46;06.01.2023 09:55;8;TL;Rüsten / Nachjustieren;HM/PM
43;20042728;0;Frühschicht;06.01.2023 10:00;06.01.2023 10:07;8;TL;Rüsten / Nachjustieren;HM/PM
44;20042728;0;Frühschicht;06.01.2023 10:20;06.01.2023 10:28;8;TL;Rüsten / Nachjustieren;HM/PM
45;20042728;0;Frühschicht;06.01.2023 10:30;06.01.2023 10:40;10;TL;Rüsten / Nachjustieren;HM/PM
46;20042728;0;Frühschicht;06.01.2023 10:50;06.01.2023 11:01;11;TL;Rüsten / Nachjustieren;"PM: Dornplatte nicht in Pos. , übergabe zu Tray nicht i.O
( Infos . S.Taurean )"
47;20042728;0;Frühschicht;06.01.2023 11:10;06.01.2023 11:17;7;TL;Rüsten / Nachjustieren;"PM: Dornplatte nicht in Pos. , übergabe zu Tray nicht i.O
( Infos . S.Taurean )"
48;20042728;0;Frühschicht;06.01.2023 12:19;06.01.2023 12:34;16;PM;Gruppieren;Störungen Tubeneinschieber
49;20042728;0;Frühschicht;06.01.2023 13:46;06.01.2023 13:58;12;PM;Gruppieren;Störung Tubeneinschieber
50;20042728;0;Spätschicht;06.01.2023 15:09;06.01.2023 16:30;81;TL;Rüsten / Nachjustieren;Umrichtcode :   0 - 5
51;20042728;0;Spätschicht;06.01.2023 17:37;06.01.2023 17:44;8;NH;Tuben entladen;Station Nr. 9 Abblasprobleme
52;20042728;0;Spätschicht;06.01.2023 19:47;06.01.2023 19:58;10;PM;Stapeleinheit / Dornplatte;Einrichter anwesend, das Gruppieren hat die Position verloren, da eine Tube unter dem Gruppierband eingeklemmt war, Maschine muss neu initialisiert werden.
53;20042728;0;Spätschicht;06.01.2023 20:40;06.01.2023 20:48;8;NH;Tuben entladen;Einrichter
54;20042728;0;Spätschicht;06.01.2023 21:56;06.01.2023 22:22;26;PM;Gruppieren;1 Dornplatte nicht in Position - Einrichter an lInie 
55;20042728;0;Nachtschicht;06.01.2023 22:35;06.01.2023 22:43;8;NH;Abblasen;Abblas Probleme 
56;20042728;0;Nachtschicht;06.01.2023 22:53;06.01.2023 23:02;8;PM;Gruppieren;Dornplatte Justieren 
57;20042728;0;Nachtschicht;06.01.2023 23:17;06.01.2023 23:25;8;PM;Gruppieren;Dornplatte Justieren 
58;20042728;0;Nachtschicht;07.01.2023 00:47;07.01.2023 01:37;50;DM;Druck;Streifen im Druck - Fehler suche 
59;20042728;0;Nachtschicht;07.01.2023 02:52;07.01.2023 03:01;8;NH;Tuben laden;Tuben hochgezogen 
60;20042728;0;Nachtschicht;07.01.2023 03:20;07.01.2023 03:26;6;NH;Spritzen;"Station 3
"
61;20042728;0;Nachtschicht;07.01.2023 04:09;07.01.2023 04:16;6;NH;Tuben laden;Rumpfzuführung 
62;20042728;0;Nachtschicht;07.01.2023 04:24;07.01.2023 04:29;6;NH;Tuben laden;Rumpfzuführung 
63;20042728;0;Nachtschicht;07.01.2023 05:39;07.01.2023 05:45;6;DM;Druck;Gummitücher Clichee reinigen 
64;20042728;0;Frühschicht;07.01.2023 06:15;07.01.2023 06:25;10;TL;Sonstiges => Kommentar machen;"DM: Klische und GT Reinigen
( Viele weise Partikel von NH, Einfedler. )"
65;20042728;0;Frühschicht;07.01.2023 06:42;07.01.2023 06:52;10;HM;Hopper / Verschlusszufuhr;
66;20042728;0;Frühschicht;07.01.2023 07:23;07.01.2023 07:29;6;HM;Hopper / Verschlusszufuhr;
67;20042728;0;Frühschicht;07.01.2023 07:39;07.01.2023 13:22;343;TL;Rüsten / Nachjustieren;
68;20042728;0;Frühschicht;07.01.2023 13:32;07.01.2023 13:40;8;TL;Kein Auftrag;
69;20042728;0;Frühschicht;07.01.2023 13:40;09.01.2023 07:57;2536;TL;Kein Auftrag;
70;20042727;0;Frühschicht;09.01.2023 08:17;09.01.2023 08:45;28;TL;Rüsten / Nachjustieren;Verschlussaufschraubmaschine, Engineering anwesend.
71;20042727;0;Frühschicht;09.01.2023 09:00;09.01.2023 09:05;6;TL;Rüsten / Nachjustieren;Verschlussaufschraubmaschine, Engineering anwesend.
72;20042727;0;Frühschicht;09.01.2023 09:09;09.01.2023 09:16;6;TL;Rüsten / Nachjustieren;Verschlussaufschraubmaschine, Engineering anwesend.
73;20042727;0;Frühschicht;09.01.2023 09:25;09.01.2023 09:59;34;TL;Rüsten / Nachjustieren;Verschlussaufschraubmaschine, Engineering anwesend.
74;20042727;0;Frühschicht;09.01.2023 09:59;09.01.2023 10:34;34;HM;Tuben entladen / Transport;Umsetzer Station Nr. 4 richten und neu einstellen durch Mechaniker.
75;20042727;0;Spätschicht;09.01.2023 21:47;15.01.2023 17:54;8407;TL;Kein Auftrag;Auftrag abschliessen - Linie wechseln
76;20043082;0;Spätschicht;15.01.2023 17:56;15.01.2023 18:15;20;TL;Kein Auftrag;Linie steht
77;20043082;0;Spätschicht;15.01.2023 18:36;16.01.2023 06:43;727;TL;Kein Auftrag;Linie steht
78;20043082;0;Spätschicht;16.01.2023 14:23;16.01.2023 14:28;5;PM;Schachtel-Transport;
79;20043082;0;Spätschicht;16.01.2023 15:45;16.01.2023 15:50;6;PM;Schachtel-Transport;
80;20043082;0;Spätschicht;16.01.2023 20:19;16.01.2023 20:58;39;TL;Sonstiges => Kommentar machen;"NH: Werkzeug ausfahren nicht in Position  
+ MS 105B6"
81;20043082;0;Nachtschicht;16.01.2023 22:36;16.01.2023 22:50;14;HM;Lochöffnung Kamera (Pos 2);Kamerakontrollen, Stat. A, B + C nicht i.O. Korrektur durch Einrichter
82;20043439;0;Nachtschicht;16.01.2023 23:29;17.01.2023 00:33;64;DM;Tuben laden;Beim Ladeprysma Stat. B ist Schraube rausgefallen, Einrichter DFS und Teamleiter anwesend.
83;20043439;0;Nachtschicht;17.01.2023 00:43;17.01.2023 01:23;40;DM;Tuben laden;Beim Ladeprysma Stat. B ist Schraube rausgefallen, Einrichter DFS und Teamleiter anwesend.
84;20043439;0;Nachtschicht;17.01.2023 03:37;17.01.2023 03:42;6;DM;Tuben laden;Prysma A macht probleme nach Reparatur von Ladeprysma B (jedes Prysma kommt zu einem anderen Zeitpunkt nach oben) das ablegen in Prysma A, B und C kann nicht optimal eingestellt werden !
85;20043439;0;Nachtschicht;17.01.2023 05:08;17.01.2023 08:54;227;TL;Rüsten / Nachjustieren;Umrichtcode :   2 - 4 L O G V M W
86;20043439;0;Frühschicht;17.01.2023 09:12;17.01.2023 09:25;12;TL;Rüsten / Nachjustieren;2 - 4 L O G V M W
87;20043439;0;Frühschicht;17.01.2023 09:47;17.01.2023 09:58;11;TL;Rüsten / Nachjustieren;2 - 4 L O G V M W
88;20043439;0;Frühschicht;17.01.2023 10:02;17.01.2023 10:14;12;TL;Rüsten / Nachjustieren;2 - 4 L O G V M W
89;20043439;0;Frühschicht;17.01.2023 10:26;17.01.2023 10:33;6;TL;Rüsten / Nachjustieren;2 - 4 L O G V M W
90;20043439;0;Frühschicht;17.01.2023 11:34;17.01.2023 11:40;6;NH;Spritzen;Probleme bei Kopfspritzen. Werkzeuge verstopft. Maschinist in Pause.
91;20043439;0;Frühschicht;17.01.2023 12:43;17.01.2023 12:51;8;NH;Tuben laden;St. 1 
92;20043439;0;Frühschicht;17.01.2023 12:54;17.01.2023 13:00;6;NH;Tuben laden;St. 1 
93;20043439;0;Spätschicht;17.01.2023 14:00;17.01.2023 14:18;18;DM;Druck;Farbe Grün zuhell, Speicher leeren + 1 Tray.
94;20043439;0;Spätschicht;17.01.2023 16:36;17.01.2023 16:42;6;DM;Druck;Klische und GT Reinigen
95;20043439;0;Spätschicht;17.01.2023 18:36;18.01.2023 01:37;421;TL;Rüsten / Nachjustieren;3 - 2 L O G V M D
96;20043436;0;Nachtschicht;18.01.2023 01:43;18.01.2023 01:53;10;TL;Rüsten / Nachjustieren;Verschlussaufschraubmaschine und Packmaschine
97;20043436;0;Nachtschicht;18.01.2023 02:19;18.01.2023 02:25;6;TL;Rüsten / Nachjustieren;Packmaschine
98;20043436;0;Frühschicht;18.01.2023 07:07;18.01.2023 07:13;6;NH;Tuben laden;Hopper leer. Roboter funktioniert nicht. Bei SS: Innenband ersetzen.
99;20043436;0;Frühschicht;18.01.2023 07:29;18.01.2023 08:42;73;TL;Rüsten / Nachjustieren;1 - 2
100;20043436;0;Frühschicht;18.01.2023 10:34;18.01.2023 10:48;14;NH;Tuben laden;Roboter bleibt stehen. Kabel nicht in Ordnung. SL an Linie
101;20043436;0;Frühschicht;18.01.2023 10:49;18.01.2023 10:56;7;NH;Tuben laden;Roboter bleibt stehen. Kabel nicht in Ordnung. SL & T.Sigmund an Linie
102;20043436;0;Frühschicht;18.01.2023 12:50;18.01.2023 12:56;6;HM;Hopper / Verschlusszufuhr;Verschlüss bei St. B verkehrt im Heisskanal.
103;20043436;0;Frühschicht;18.01.2023 13:02;18.01.2023 13:18;16;HM;Hopper / Verschlusszufuhr;Verschlüsse bei St. B verkehrt im Heisskanal. Ausschusstube nicht ausgeworfen.
104;20043436;0;Frühschicht;18.01.2023 13:23;18.01.2023 14:45;83;DM;Technischer Defekt/Reparatur;"Ladeprisma St. C , Schraube rausgefalen. Mech.
+ Aufstosser def. = Krum ."
105;20043436;0;Spätschicht;18.01.2023 14:47;18.01.2023 14:54;7;HM;Hopper / Verschlusszufuhr;
106;20043436;0;Spätschicht;18.01.2023 15:05;18.01.2023 15:26;21;DM;Technischer Defekt/Reparatur;"Ladestation: Prisma C, kontakt mit Aufstoser. Mech.
"
107;20043436;0;Spätschicht;18.01.2023 15:27;18.01.2023 16:19;52;DM;Technischer Defekt/Reparatur;Ladestation: Prisma C, kontakt mit Aufstoser. Mech.
108;20043436;0;Spätschicht;18.01.2023 17:16;18.01.2023 18:25;69;TL;Rüsten / Nachjustieren;1 - 2
109;20043436;0;Spätschicht;18.01.2023 20:17;18.01.2023 20:29;12;NH;Tuben laden;Störumg Spindelantrieb Laden.
110;20043436;0;Spätschicht;18.01.2023 21:36;18.01.2023 21:43;7;HM;Hopper / Verschlusszufuhr;
111;20043441;0;Nachtschicht;18.01.2023 22:50;18.01.2023 22:56;6;HM;Tuben entladen / Transport;Umsetzer macht viel Ausschuss
112;20043441;0;Nachtschicht;18.01.2023 23:04;18.01.2023 23:15;11;NH;Tuben laden;Fehler suchen Klinke Ladestation +VK 42B2
113;20043441;0;Nachtschicht;19.01.2023 03:25;19.01.2023 04:13;48;TL;Rüsten / Nachjustieren;Umrichtcode :  1 - 2
114;20043441;0;Frühschicht;19.01.2023 06:39;19.01.2023 06:45;6;HM;Hopper / Verschlusszufuhr;Verkehrter Verschluss in Heisskanal St. B
115;20043441;0;Spätschicht;19.01.2023 16:06;19.01.2023 18:48;162;TL;Rüsten / Nachjustieren;"1 - 4 L O G V M W
( DM: Dorn wechsel, auf PP-Dorn = "" W "" ! )"
116;20043441;0;Spätschicht;19.01.2023 18:57;19.01.2023 19:04;8;TL;Rüsten / Nachjustieren;HM/PM
117;20043441;0;Nachtschicht;19.01.2023 23:30;19.01.2023 23:40;10;DM;Druck;Clichés und Gummitücher reinigen
118;20043441;0;Nachtschicht;20.01.2023 02:13;20.01.2023 02:19;6;HM;Hopper / Verschlusszufuhr;Beim Hopper ist ein falsches WT - Teil montiert worden, Einrichter muss es wechseln.
119;20043441;0;Nachtschicht;20.01.2023 05:18;20.01.2023 05:23;6;PM;Gruppieren;Gruppier und Aufschiebeprobleme, Maschine entleeren und neu initialisieren.
120;20043441;0;Nachtschicht;20.01.2023 05:32;20.01.2023 05:39;8;NH;Tuben entladen;Abblasprobleme
121;20043441;0;Nachtschicht;20.01.2023 05:54;20.01.2023 05:59;6;PM;Schachtel-Transport;Beim entladen Tray verklemmt
122;20043441;0;Frühschicht;20.01.2023 06:11;20.01.2023 06:47;36;PM;Schachtel-Transport;Schachteltransport vertikal neu initialisieren. ER & SL an Linie
123;20043441;0;Frühschicht;20.01.2023 07:51;20.01.2023 07:59;8;DM;Druck;Schweissnahtausrichtung optimieren.
124;20043441;0;Frühschicht;20.01.2023 09:14;20.01.2023 09:22;8;PM;Schachtel-Transport;Volles Tray eingeklemmt.
125;20043441;0;Frühschicht;20.01.2023 11:29;20.01.2023 12:10;41;DM;Druck;Überlappungs-schwankungen. Gummitücher gewechselt und Druck neu Optimiert. Neue ab Tray Nr. 363. Info SL
126;20043441;0;Spätschicht;20.01.2023 14:13;20.01.2023 14:19;6;NH;Tuben entladen;Tuben hochgezogen
127;20043441;0;Spätschicht;20.01.2023 14:21;20.01.2023 14:27;6;NH;Tuben entladen;Tuben hochgezogen
128;20043441;0;Spätschicht;20.01.2023 14:33;20.01.2023 14:39;6;NH;Tuben entladen;Tuben hochgezogen
129;20043442;0;Spätschicht;20.01.2023 18:11;20.01.2023 18:22;12;TL;Sonstiges => Kommentar machen;"NH: Störung Station 3
- Entlade Störungen Abblassen"
130;20043442;0;Spätschicht;20.01.2023 20:08;20.01.2023 20:19;12;NH;Tuben laden;NH: Störung Station 3 
131;20043578;0;Nachtschicht;20.01.2023 22:34;20.01.2023 22:44;10;NH;Tuben entladen;Hochgezogene Tuben
132;20043578;0;Nachtschicht;21.01.2023 00:04;21.01.2023 01:36;93;TL;Rüsten / Nachjustieren;Umrichtcode : 0 - 4 L  / Probleme bei NH mit Tuben entladen
133;20043578;0;Nachtschicht;21.01.2023 01:52;21.01.2023 01:58;6;NH;Tuben entladen;Abblasen
134;20043578;0;Nachtschicht;21.01.2023 04:23;21.01.2023 08:04;221;TL;Rüsten / Nachjustieren;Umrichtcode :   3 - 1 X G V M W
135;20043578;0;Frühschicht;21.01.2023 08:43;21.01.2023 08:55;12;PM;Schachtel-Transport;Tray verklemmt, danach Maschine neu Initialisieren.
136;20043578;0;Frühschicht;21.01.2023 09:43;21.01.2023 09:57;14;PM;Gruppieren;Transportschale abgebrochen und hat Kette blockiert. ER an Linie
137;20043578;0;Frühschicht;21.01.2023 11:04;21.01.2023 11:11;6;HM;Hopper / Verschlusszufuhr;Verschlusszufuhr St. C.
138;20043578;0;Frühschicht;21.01.2023 13:29;23.01.2023 07:39;2530;TL;Kein Auftrag;Linie ausschalten.
139;20043578;0;Frühschicht;23.01.2023 08:22;23.01.2023 08:28;6;DM;Druck;"DM: Kische und GT Reinigen.
Walzendruck, Nachjustieren."
140;20043578;0;Frühschicht;23.01.2023 08:56;23.01.2023 09:02;6;PM;Schachtel-Transport;Entlade Volles Tray, Klemmt .
141;20043578;0;Frühschicht;23.01.2023 11:42;23.01.2023 11:47;6;NH;Hopper / Rumpfzufuhr;
142;20043636;0;Nachtschicht;24.01.2023 00:44;24.01.2023 00:57;14;HM;Hopper / Verschlusszufuhr;Verschlüsse verkehrt im Heisskanal.
143;20043636;0;Nachtschicht;24.01.2023 03:19;24.01.2023 07:37;258;TL;Rüsten / Nachjustieren;0 - 3 - L - O - G - V - M
144;20043636;0;Frühschicht;24.01.2023 07:39;24.01.2023 07:45;6;TL;Rüsten / Nachjustieren;HM/ PM
145;20043636;0;Frühschicht;24.01.2023 08:14;24.01.2023 08:23;9;HM;Technischer Defekt/Reparatur;Nachziestation B, Nachziestange ers.
146;20043636;0;Frühschicht;24.01.2023 08:23;24.01.2023 08:40;17;HM;Technischer Defekt/Reparatur;"Nachziestation B, Nachziestange ers.
( Linie : Werend stilstandzeit, KLEINE SERVIS ! )"
147;20043636;0;Frühschicht;24.01.2023 09:48;24.01.2023 09:54;6;HM;Hopper / Verschlusszufuhr;Verkerte Verschlüsse , Zufuhr A
148;20043636;0;Frühschicht;24.01.2023 10:59;24.01.2023 11:12;13;NH;Tuben laden;Störung Station 3 
149;20043636;0;Frühschicht;24.01.2023 11:32;24.01.2023 11:40;8;NH;Tuben laden;Störungen, verdükte Rümpfe bei Einfehdler...
150;20043636;0;Frühschicht;24.01.2023 12:51;24.01.2023 12:59;8;HM;Hopper / Verschlusszufuhr;
151;20043636;0;Frühschicht;24.01.2023 13:20;24.01.2023 15:09;108;NH;Technischer Defekt/Reparatur;"Bei entladen, 15 Stäblie Def.
Referenzsensor def. bei Entladekette."
152;20043636;0;Spätschicht;24.01.2023 15:10;24.01.2023 15:57;46;NH;Technischer Defekt/Reparatur;Beim Tubenspeicher nach NH 15 Stk. Kettenstäbli ersetzen. Bei DM Mechaniker anwesend, Abrieb bei den Ladeprysmen, Problem noch nicht gelöst, muss mit Elektriker oder Polytype noc abgeklärt werden.
153;20043636;0;Spätschicht;24.01.2023 15:57;24.01.2023 16:08;11;HM;Aufschrauben / Aufprellen;Bei Snipperstation Präsenzkontrolle Stat. B neu einstellen 
154;20043636;0;Spätschicht;24.01.2023 19:13;24.01.2023 19:21;8;NH;Tuben entladen;Hochgezogene Tuben
155;20043636;0;Spätschicht;24.01.2023 19:21;24.01.2023 19:28;7;NH;Tuben entladen;Hochgezogene Tuben
156;20043636;0;Spätschicht;24.01.2023 19:41;24.01.2023 20:05;24;DM;Druck;Farbmuster für Farbvorlage erstellt
157;20043636;0;Nachtschicht;25.01.2023 03:41;25.01.2023 04:04;23;SS;Schweissnaht/-Band;Innenband kapput. Rumpfspeicher leer.
158;20043636;0;Frühschicht;25.01.2023 07:32;25.01.2023 07:51;19;NH;Tuben entladen;"Entladekette auf Stäblizentrirung einst.
Infos. Einrichter"
159;20043636;0;Frühschicht;25.01.2023 10:49;25.01.2023 10:55;6;DM;Druck;Klische und GT Reinigen
160;20043636;0;Frühschicht;25.01.2023 12:39;25.01.2023 12:49;10;NH;Tuben entladen;Entladekette: 30 Stäbli def.
161;20043636;0;Frühschicht;25.01.2023 12:53;25.01.2023 13:02;9;NH;Tuben entladen;Entladekette: 30 Stäbli def.
162;20043636;0;Frühschicht;25.01.2023 13:13;25.01.2023 13:20;7;NH;Technischer Defekt/Reparatur;Entladekette: 30 Stäbli def. + ers.
163;20043636;0;Spätschicht;25.01.2023 20:39;25.01.2023 20:45;7;PM;Gruppieren;Maschine entleeren und neu initialisieren
164;20043636;0;Nachtschicht;25.01.2023 23:55;26.01.2023 00:05;10;HM;Hopper / Verschlusszufuhr;Verkehrter Verschluss im Kanal St. B. & Ausschusstube wurde nicht ausgeworfen.
165;20043636;0;Nachtschicht;26.01.2023 00:13;26.01.2023 00:29;16;NH;Technischer Defekt/Reparatur;Entladekette: 40 Stäbli def. + ers.
166;20043636;0;Nachtschicht;26.01.2023 00:45;26.01.2023 00:50;5;HM;Hopper / Verschlusszufuhr;Verkehrter Verschluss im Kanal St. B. & Ausschusstube wurde nicht ausgeworfen.
167;20043636;0;Nachtschicht;26.01.2023 01:47;26.01.2023 01:57;10;NH;Tuben laden;Schwenkmagazin
168;20043636;0;Nachtschicht;26.01.2023 03:51;26.01.2023 03:59;8;NH;Tuben entladen;Entladekette: 5 Stäbli def. + ers.
169;20043636;0;Frühschicht;26.01.2023 08:48;26.01.2023 09:00;12;PM;Gruppieren;
170;20043636;0;Frühschicht;26.01.2023 10:23;26.01.2023 11:15;52;NH;Technischer Defekt/Reparatur;"Probleme mit Entlade auf Entladekette.
Elektriker: Softwar korektur, für Referensfart Entladekete."
171;20043636;0;Frühschicht;26.01.2023 12:02;26.01.2023 12:11;9;NH;Hopper / Rumpfzufuhr;
172;20043636;0;Spätschicht;26.01.2023 14:10;26.01.2023 14:30;20;NH;Technischer Defekt/Reparatur;Abgerissene Kettenstäbli von Frühschicht ersetzen
173;20043636;0;Spätschicht;26.01.2023 16:47;26.01.2023 16:54;7;HM;Hopper / Verschlusszufuhr;Verschluss Stat. B im Fördertopf verklemmt
174;20043793;0;Nachtschicht;27.01.2023 01:02;27.01.2023 02:56;114;TL;Rüsten / Nachjustieren;2 - 2 - M
175;20043793;0;Nachtschicht;27.01.2023 05:17;27.01.2023 05:26;9;TL;Geplante Wartung;IPC / Kamera/Nachjustirung
176;20043793;0;Frühschicht;27.01.2023 06:27;27.01.2023 06:34;8;TL;Geplante Wartung;IPC / Kamera/Nachjustirung
177;20043793;0;Frühschicht;27.01.2023 08:52;27.01.2023 09:07;15;TL;Geplante Wartung;SS: innenband ers. ( Speicher Leer )
178;20043793;0;Frühschicht;27.01.2023 10:48;27.01.2023 10:54;6;NH;Hopper / Rumpfzufuhr;Liniarförderer Doppel Rumpf.
179;20043793;0;Frühschicht;27.01.2023 11:34;27.01.2023 11:39;6;NH;Tuben entladen;20 Stäbli def.
180;20043793;0;Frühschicht;27.01.2023 12:42;27.01.2023 12:50;8;NH;Tuben entladen;20 Stäbli ers.
181;20043793;0;Spätschicht;27.01.2023 14:43;27.01.2023 14:53;10;NH;Tuben entladen;Entladekette nicht in position. 15 Stäbli ers.
182;20043793;0;Nachtschicht;28.01.2023 05:20;28.01.2023 05:27;6;PM;Schachtel-Transport;Volles Tray geklemmt.
183;20043793;0;Frühschicht;28.01.2023 09:10;28.01.2023 09:24;14;TL;Geplante Wartung;"SS: Innenband ers. + Dornlager
( Speicher Lehr. )"
184;20043793;0;Frühschicht;28.01.2023 13:28;29.01.2023 23:44;2056;TL;Geplante Wartung;Linie Stop, Reinigen ( Gem. Schichtplan. )
